,SRR26253933,SRR26253952,SRR26254090,SRR26254102,SRR26254116,SRR26254186,SRR26254262,SRR26254264,SRR26254336,SRR26254392,SRR26254404,SRR26254419,SRR26254420,SRR26254422
ENSG00000290825.1,0,3,3,0,0,0,0,0,0,0,2,0,0,0
ENSG00000223972.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000227232.6,115,58,47,58,42,59,36,6,88,75,105,14,71,78
ENSG00000278267.1,0,0,0,4,0,0,1,0,0,4,0,0,5,3
ENSG00000243485.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.7,4,0,1,0,0,0,0,0,0,2,0,0,1,0
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,9,8,3,2,1,0,4,3,0,20,3,2,0,8
ENSG00000268903.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000269981.1,0,2,0,0,0,1,0,0,1,9,0,0,0,0
ENSG00000239906.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241860.7,5,0,0,0,0,1,0,0,2,2,4,0,1,0
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,3,0,0,0,0,3,6,0,4,0,0,0,3,11
ENSG00000279457.4,122,52,111,105,22,63,20,18,58,120,46,21,51,51
ENSG00000273874.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000292994.1,34,2,6,46,2,5,0,0,36,3,18,4,8,8
ENSG00000228463.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286448.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,6,2,0,6,2,2,2,0,3,3,1,0,0,5
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290385.1,8,0,0,3,0,3,0,2,11,8,1,2,6,5
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000250575.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000293331.1,4,0,0,2,0,0,0,3,2,1,0,1,0,2
ENSG00000235146.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,1142,1233,2278,238,1544,362,1152,839,366,740,909,988,620,1274
ENSG00000225630.1,153838,118226,189856,109376,160586,69016,957517,209967,103839,165927,103521,146435,119755,201648
ENSG00000237973.1,104954,61749,80189,13629,65151,7080,66000,87770,129457,38267,48126,40183,49259,117257
ENSG00000278791.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,1231,1443,1939,411,2018,1073,819,1218,817,990,607,1422,721,1153
ENSG00000240409.1,123,71,187,120,57,40,181,322,173,89,51,96,57,133
ENSG00000248527.1,596855,464048,697137,322532,634798,242062,727877,647008,373256,487972,360772,544934,422062,627041
ENSG00000198744.5,2473,2198,2684,959,3030,1127,1086,3922,2082,1233,1157,3150,1821,1857
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,2,0,0,0,0,2,2,0,1,4,0,0
ENSG00000291215.1,11,1,0,13,0,4,2,1,22,12,8,1,8,8
